iter	Passed	Remaining
0	1	1104
1	1	957
2	2	862
3	3	814
4	4	838
5	4	799
6	5	783
7	6	764
8	6	752
9	7	766
10	8	763
11	9	753
12	9	746
13	10	739
14	11	731
15	11	725
16	12	720
17	13	711
18	13	709
19	14	710
20	15	708
21	15	706
22	16	701
23	17	698
24	17	694
25	18	690
26	19	685
27	19	680
28	20	679
29	21	682
30	21	682
31	22	679
32	23	678
33	23	677
34	24	674
35	25	672
36	25	669
37	26	675
38	27	676
39	28	675
40	28	673
41	29	671
42	30	669
43	30	668
44	31	667
45	32	665
46	32	666
47	33	666
48	34	664
49	34	664
50	35	664
51	36	662
52	36	660
53	37	659
54	38	660
55	39	660
56	39	659
57	40	658
58	41	656
59	41	656
60	42	654
61	43	652
62	43	651
63	44	650
64	45	650
65	45	650
66	46	649
67	47	648
68	47	647
69	48	647
70	49	647
71	50	646
72	50	645
73	51	645
74	52	644
75	52	643
76	53	642
77	54	642
78	54	640
79	55	639
80	56	637
81	56	637
82	57	634
83	58	633
84	58	632
85	59	631
86	60	630
87	60	628
88	61	627
89	61	626
90	62	627
91	63	626
92	64	625
93	64	624
94	65	624
95	66	624
96	67	623
97	67	623
98	68	622
99	69	622
100	69	622
101	70	621
102	71	619
103	71	617
104	72	615
105	72	614
106	73	612
107	73	610
108	74	608
109	75	606
110	75	606
111	76	605
112	77	605
113	77	604
114	78	604
115	79	603
116	79	601
117	80	600
118	80	599
119	81	598
120	82	597
121	82	595
122	83	594
123	84	593
124	84	592
125	85	590
126	85	588
127	86	587
128	86	586
129	87	586
130	88	585
131	88	584
132	89	583
133	90	583
134	90	582
135	91	580
136	92	579
137	92	578
138	93	577
139	93	577
140	94	576
141	95	574
142	95	573
143	96	572
144	96	571
145	97	569
146	98	568
147	98	567
148	99	566
149	99	565
150	100	565
151	101	564
152	101	563
153	102	562
154	103	564
155	104	564
156	105	564
157	105	564
158	106	564
159	107	563
160	107	561
161	108	560
162	108	559
163	109	557
164	110	556
165	110	555
166	111	555
167	112	554
168	112	554
169	113	553
170	113	552
171	114	551
172	115	550
173	115	549
174	116	548
175	116	547
176	117	548
177	118	549
178	119	549
179	120	548
180	121	548
181	121	547
182	122	546
183	122	545
184	123	545
185	124	546
186	125	546
187	126	546
188	127	547
189	128	546
190	128	545
191	129	546
192	130	547
193	131	547
194	132	546
195	133	546
196	133	545
197	134	544
198	135	545
199	136	545
200	137	544
201	138	546
